Feature ID	kingdom	phylum	class	order	family	genus	species	Confidence
ab4d0c23cc9bbb6c40344f8ec5f523d6	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	prausnitzii	0.999819869022
1011e66c95a467d5971e26100f2a8fe5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	ovatus	0.740746026409
e2b74d0161f949792771d11a55a237fe	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae			0.792933919532
cbe74193c77dbcc6da71c8e68c3b7ec4	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		0.996667138823
c2fd8590923a0c086773743acf5135d8	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea		0.97845865232
e08914c93865295e1d9ff48fde5e76f2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.998558141879
34d441bcd6d642c9324f39296fc45e9c	Bacteria	Firmicutes	Clostridia	Clostridiales				0.999999999998
2679583c323f458f4d853363f9559767	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megasphaera		0.999999999824
745e69afd895b7ace666a52491988227	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia		0.999929059075
770fe1c6baf3160e9b314445e3032c43	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea		0.99313726988
7c1d00fa8d2a352d330411affe717dad	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae			0.992369885782
787fd16de5590d25608ca0d9e960fb1f	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.897049327332
a70cdff4a7d61517d0406df32b6a4502	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		0.738114654209
88aadb4a0df87aa01f3f2aa8a2eb21cc	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uniformis	0.999942453965
467de109076727cd70009f9ea6667796	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia		0.987974532566
ed1bf6e92b309282f27418a654522d06	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	producta	0.998731058209
64833ce85af2f35adfbece61ee0cb31e	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	formicilis	0.95272928531
2be1b03a776bfb5b55c722320694d2ee	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megasphaera		0.999909946659
f4c314ee7e9951879c751d14f82ddafb	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus		0.986860747631
